T since,Latitude,Longitude,Altitude,ISS,Latitude,Longitude,Error difference,,,,,,,SGP4 Test,,
132,-2.08488641,-29.54802699,401.4433939,,-2.09,-29.55,0.609409074,,,,,,,,,
134,-47.96756563,57.50393483,424.2358818,,-47.97,57.5,0.398860032,,,,,,,,,
136,27.3039774,111.783078,406.0330116,,27.3,111.78,0.536746427,,,,,,,,,
138,28.67313239,-148.1730877,400.3794364,,28.67,-148.18,0.759001925,,,,,,,,,
140,-47.28619863,-94.70884318,421.3943226,,-47.29,-94.72,0.941697528,,,,,,,,,
142,-3.52664234,-6.458933515,408.9468113,,-3.53,-6.46,0.391667673,,,,,,,,,
144,50.17469084,75.1483663,405.725484,,50.17,75.14,0.791884304,,,,,,,,,
146,-22.55201798,134.399484,408.3070652,,-22.56,134.39,1.317669032,,,,,,,,,
148,-33.48207361,-126.5392624,418.8976103,,-33.49,-126.55,1.32981877,,,,,,,,,
150,44.03902133,-76.12118898,407.1758115,,44.03,-76.13,1.22571552,,,,,,,,,
152,8.655177336,16.9516212,399.5976124,,8.65,16.95,0.602647701,,,,,,,,,
154,-51.46104601,92.23925622,424.7454917,,-51.47,92.23,1.184245573,,,,,,,,,
156,17.17212152,156.9096924,406.286576,,17.17,156.9,1.056385643,,,,,,,,,
158,37.81685846,-105.307804,402.1162865,,37.81,-105.31,0.786646643,,,,,,,,,
160,-40.46535554,-55.9937671,417.2105055,,-40.47,-56,0.738051955,,,,,,,,,
162,-14.14530376,39.90282149,411.9242134,,-14.15,39.9,0.604350576,,,,,,,,,
164,51.77948025,108.6605918,407.0629704,,51.77,108.65,1.281524694,,,,,,,,,
166,-12.17875363,-179.8756904,403.9414386,,-12.18,-179.88,0.488492848,,,,,,,,,
168,-41.86570982,-85.00015828,421.9659751,,-41.87,-85.01,0.944304435,,,,,,,,,
170,36.12400723,-35.59592566,406.8626846,,36.12,-35.6,0.576599659,,,,,,,,,
172,19.17277194,62.9727612,399.3277413,,19.17,62.97,0.423207514,,,,,,,,,
174,-51.10308306,125.6132876,423.4501532,,-51.11,125.6,1.205059007,,,,,,,,,
176,6.627852019,-156.8970369,407.3502668,,6.62,-156.9,0.932428154,,,,,,,,,
178,45.35877246,-65.47130255,404.2290784,,45.36,-65.48,0.693121668,,,,,,,,,
180,-31.80653625,-13.92709435,412.2964748,,-31.81,-13.93,0.473001468,,,,,,,,,
182,-24.38588927,85.46292066,415.4070556,,-24.39,85.46,0.54444598,,,,,,,,,
184,49.41281571,142.5791202,407.7270659,,49.41,142.57,0.730326808,,,,,,,,,
186,-1.523120492,-133.4340064,400.8012694,,-1.53,-133.44,1.014412011,,,,,,,,,
188,-48.22459542,-46.88304154,423.8400772,,-48.23,-46.89,0.791736378,,,,,,,,,
190,26.81164815,7.806204402,406.6035777,,26.8,7.8,1.434135669,,,,,,,,,
192,29.16331721,107.82446,400.3959672,,29.16,107.82,0.568860544,,,,,,,,,
194,-47.00983954,160.9597023,420.4791908,,-47.01,160.95,0.73585175,,,,,,,,,
196,-4.040065427,-110.3086984,409.3458968,,-4.05,-110.31,1.114068247,,,,,,,,,
198,50.34269887,-29.29763741,406.1930919,,50.34,-29.31,0.927230631,,,,,,,,,
200,-22.06633294,30.4841934,407.3905228,,-22.07,30.48,0.594136117,,,,,,,,,
202,-33.9004933,129.4585659,418.8606952,,-33.91,129.45,1.319992734,,,,,,,,,
204,43.71448306,179.6835444,407.7697144,,43.71,179.68,0.574152812,,,,,,,,,
206,9.151884422,-86.89541844,399.2132373,,9.15,-86.9,0.544864592,,,,,,,,,
208,-51.53052143,-12.16686338,424.1174254,,-51.54,-12.18,1.391559916,,,,,,,,,
210,16.71301601,53.0594957,406.8004782,,16.71,53.05,1.065436527,,,,,,,,,
212,38.19549129,150.6400304,402.3479286,,38.19,150.63,1.068278465,,,,,,,,,
214,-40.12032586,-160.0639392,416.2468326,,-40.12,-160.07,0.516618876,,,,,,,,,
216,-14.58573233,-63.91782359,412.155721,,-14.59,-63.92,0.529190453,,,,,,,,,
218,51.75837989,4.280446787,407.6190252,,51.75,4.27,1.177007137,,,,,,,,,
220,-11.73157291,76.30779965,403.2045483,,-11.73,76.3,0.86699218,,,,,,,,,
222,-42.16823173,170.9446158,421.6834598,,-42.18,170.94,1.362734309,,,,,,,,,
224,35.76959615,-139.5577487,407.4459806,,35.76,-139.57,1.536381696,,,,,,,,,
226,19.59355912,-40.85815512,399.2009574,,19.59,-40.86,0.440424831,,,,,,,,,
228,-51.00882255,21.34439335,422.6530632,,-51.01,21.33,1.015478277,,,,,,,,,
230,6.221289979,99.3339964,407.7607993,,6.21,99.33,1.3308486,,,,,,,,,
232,45.60786712,-169.5801644,404.6289565,,45.6,-169.59,1.162193817,,,,,,,,,
234,-31.45285343,-117.8097654,411.3797401,,-31.46,-117.82,1.25456157,,,,,,,,,
236,-24.7459331,-18.34793742,415.4316008,,-24.75,-18.35,0.497879606,,,,,,,,,
238,49.25606677,38.41123619,408.3279569,,49.25,38.4,1.058365664,,,,,,,,,
240,-1.130443471,122.8129896,400.2920249,,-1.13,122.81,0.336005392,,,,,,,,,
