T since,X,Y,Z,,,SGP4 Test
0,-386.078440927,-6449.74743416,2052.6174129,,,1 25544U 98067A   16291.11854479  .00010689  00000-0  16758-3 0  9992
1,-121.38838262,-6558.59088553,1715.30683891,,,2 25544  51.6446 169.8664 0007102  80.6091  76.5051 15.54264543 23954
2,143.027555937,-6639.66363572,1370.07227113,,,Singapore UTC+8:,,17/10/16 10:50:42
3,406.201199189,-6692.59260558,1018.50966041
4,667.173296535,-6717.12646278,662.243759068
5,924.99696383,-6713.1368211,302.920446634
6,1178.74103417,-6680.61886575,-57.8010425081
7,1427.49342057,-6619.69138099,-418.255946662
8,1670.36418111,-6530.59622908,-776.781815958
9,1906.48866623,-6413.69722363,-1131.72631978
10,2135.03044021,-6269.47845098,-1481.45497967
11,2355.18408322,-6098.54203582,-1824.35878614
12,2566.17784431,-5901.6053704,-2158.86165905
13,2767.27613619,-5679.49782782,-2483.42771361
14,2957.78186493,-5433.15698248,-2796.56829588
15,3137.03858863,-5163.62436386,-3096.84875474
16,3304.4325011,-4872.04077127,-3382.89491959
17,3459.39422466,-4559.6411898,-3653.39925658
18,3601.40049203,-4227.74927738,-3907.12667885
19,3729.97551226,-3877.77160502,-4142.91998947
20,3844.69229909,-3511.19148302,-4359.70493878
21,3945.17375418,-3129.56255272,-4556.49488068
22,4031.09359341,-2734.50211644,-4732.39501512
23,4102.17710593,-2327.68424542,-4886.60620647
24,4158.20175016,-1910.83269534,-5018.42836966
25,4198.99759153,-1485.71365768,-5127.26341782
26,4224.44758636,-1054.128374,-5212.61776675
27,4234.48771644,-617.905639054,-5274.10439286
28,4229.10697825,-178.894217688,-5311.44444215
29,4208.34723134,261.044788262,-5324.46838867
30,4172.30290557,700.04567402,-5313.11674136
31,4121.12057465,1136.24575848,-5277.44029851
32,4054.99839534,1567.79312865,-5217.59994965
33,3974.18541184,1992.85429349,-5133.86602463
34,3878.98072779,2409.62179846,-5026.61719007
35,3769.73254506,2816.32176504,-4896.33889397
36,3646.83706883,3211.2213308,-4743.62135945
37,3510.73727782,3592.63596458,-4569.15712967
38,3361.9215587,3958.93663022,-4373.73816679
39,3200.92220343,4308.55677122,-4158.25250938
40,3028.31378216,4639.99907824,-3923.68049385
41,2844.71131044,4951.84206328,-3671.09054799
42,2650.76841003,5242.74627362,-3401.63456629
43,2447.17520139,5511.46029635,-3116.54287973
44,2234.656124,5756.82638325,-2817.1188351
45,2013.96761029,5977.78571914,-2504.73300205
46,1785.89562983,6173.38329281,-2180.81702898
47,1551.2531087,6342.77233924,-1846.85717225
48,1310.87723063,6485.21832348,-1504.38752603
49,1065.62662756,6600.10243836,-1154.98298343
50,816.378468897,6686.92459034,-800.251962334
51,564.02547943,6745.3058493,-441.82893203
52,309.472778878,6774.99035319,-81.3667792185
53,53.6348519391,6775.84662337,279.470946165
54,-202.567732356,6747.86831905,639.017863132
55,-458.211542409,6691.17439082,995.6126266
56,-712.373550311,6606.00864368,1347.60678522
57,-964.134408166,6492.73870795,1693.37258604
58,-1212.58171957,6351.85442367,2031.31068239
59,-1456.81329159,6183.96564809,2359.85770213
60,-1695.94035287,5989.79950014,2677.49363494
61,-1929.09072415,5770.19705953,2982.74899893
62,-2155.41191205,5526.10954795,3274.21174916
63,-2374.07421181,5258.59397933,3550.533893
64,-2584.27356108,4968.80839779,3810.43778017
65,-2785.23446617,4658.00661227,4052.722038
66,-2976.21274124,4327.53254728,4276.26712572
67,-3156.49815322,3978.81420698,4480.04048436
68,-3325.41694858,3613.35729148,4663.101262
69,-3482.33425578,3232.73849852,4824.60459701
70,-3626.65635817,2838.59854426,4963.80544454
71,-3757.83283274,2432.6349362,5080.06193411
72,-3875.35855066,2016.59453134,5172.8382485
73,-3978.77553595,1592.26591159,5241.70701602
74,-4067.67467547,1161.47162026,5286.35121034
75,-4141.69729866,726.060219058,5306.56555333
76,-4200.53656605,287.898373893,5302.25741792
77,-4243.9387441,-151.137236791,5273.4472293
78,-4271.70429853,-589.167985134,5220.26836373
79,-4283.68882909,-1024.32136919,5142.96654539
80,-4279.80383651,-1454.73905931,5041.89874285
81,-4260.01731712,-1878.58488585,4917.53156773
82,-4224.35417993,-2294.05273802,4770.43917956
83,-4172.89648132,-2699.37434315,4601.30070217
84,-4105.78347196,-3092.82689523,4410.8971586
85,-4023.21146116,-3472.74048885,4200.10793329
86,-3925.43343372,-3837.50539731,3969.90677271
87,-3812.75856242,-4185.57898333,3721.35733735
88,-3685.55141956,-4515.49244818,3455.6083212
89,-3544.23102651,-4825.85720606,3173.88815707
90,-3389.26968391,-5115.37092312,2877.49932906
91,-3221.191591,-5382.82317662,2567.81231676
92,-3040.57125491,-5627.10070327,2246.25919822
93,-2848.03169216,-5847.19220694,1914.326942
94,-2644.24242631,-6042.19269823,1573.55042135
95,-2429.91728715,-6211.30734048,1225.50518599
96,-2205.81203748,-6353.85477356,871.800029429
97,-1972.72172449,-6469.26993568,514.06939174
98,-1731.47804405,-6557.10626714,153.965639206
99,-1482.94636054,-6617.03742062,-206.848736498
100,-1228.02267084,-6648.85836655,-566.7089563
101,-967.630416859,-6652.48593217,-923.955785399
102,-702.717179721,-6627.95876813,-1276.94331542
103,-434.251271178,-6575.43674749,-1624.04665468
104,-163.218238265,-6495.19980628,-1963.66948548
105,109.382702637,-6387.64623853,-2294.25144898
106,382.542286255,-6253.29046226,-2614.27532045
107,655.244839717,-6092.76027822,-2922.27393999
108,926.47203717,-5906.79363311,-3216.83686663
109,1195.2064823,-5696.2349372,-3496.6167265
