No.of Days,Sun_PosX,Sun_PosY,Sun_PosZ,SunVecX,SunVecY,SunVecZ,SunVec_Mag,X_azi,Y_azi,Z_azi,nX_azi,nY_azi,nZ_azi,X_ele
37,119191022414,82946171838.1,35957692797.9,0.820806171603,0.571206817763,0.247621824014,145212147506,34.8344237696,55.1655762304,0,0,0,0,13.9079276952
38,117674277828,84749612161.5,36739495017.3,0.81145541014,0.584414337054,0.253347287558,145016315089,35.7616263786,54.2383736214,0,0,0,0,14.2166047725
39,116124651365,86530240533.7,37511408084.5,0.801863017563,0.597507908788,0.259023503658,144818570034,36.6916224852,53.3083775148,0,0,0,0,14.5217973032
40,114542492818,88287597661.4,38273232893.6,0.792028830527,0.610483686607,0.264648517365,144619090280,37.6244848777,52.3755151223,0,0,0,0,14.8234083762
41,112928159203,90021225473.2,39024770868.2,0.781952896894,0.623337522566,0.270220777995,144418114085,38.5602697942,51.4397302058,0,0,0,0,15.1213646129
42,111282014983,91730667183.2,39765823989.1,0.771635302996,0.63606521613,0.27573828685,144215812335,39.499034404,50.500965596,0,0,0,0,15.4155704642
43,109604432293,93415467370.4,40496194829.1,0.761076159974,0.648662530689,0.28119929264,144012439726,40.4408381593,49.5591618407,0,0,0,0,15.7059454447
44,107895791168,95075172073.3,41215686593.6,0.750275821525,0.661124944042,0.286601855076,143808165672,41.3857239482,48.6142760518,0,0,0,0,15.9924008123
45,106156479760,96709328900.4,41924103168.5,0.739234517523,0.673448088647,0.291943953498,143603251572,42.3337510266,47.6662489734,0,0,0,0,16.2748454125
46,104386894562,98317487155.2,42621249174.6,0.727952864382,0.685627178019,0.297223737659,143397876612,43.2849511265,46.7150488735,0,0,0,0,16.5531989051
47,102587440619,99899197977.8,43306930029,0.716431279302,0.697657668229,0.30243893595,143192294870,44.2393791826,45.7606208174,0,0,0,0,16.8273605306
48,100758531747,101454014501,43980952012.2,0.704670636187,0.709534561876,0.307587732129,142986708171,45.1970586131,44.8029413869,0,0,0,0,17.0972552742
49,98900590730.3,102981492020,44643122343.1,0.692671600806,0.721253113295,0.312667704527,142781350629,46.1580369343,43.8419630657,0,0,0,0,17.3627781078
50,97014049527.8,104481188181,45293249258.8,0.680435312852,0.732808150217,0.317676953642,142576454725,47.122330703,42.877669297,0,0,0,0,17.6238530763
51,95099349461.5,105952663181,45931142102.4,0.667962734125,0.744194723053,0.322613046904,142372229533,48.0899782922,41.9100217078,0,0,0,0,17.8803780882
52,93156941401.3,107395479980,46556611415.3,0.655255288522,0.755407510463,0.327473879684,142168936488,49.0609898829,40.9390101171,0,0,0,0,18.1322698056
53,91187285940.5,108809204535,47169469037.3,0.642314277798,0.766441366666,0.332257124474,141966764815,50.03539337,39.96460663,0,0,0,0,18.3794349139
54,89190853559.9,110193406036,47769528210.7,0.62914142308,0.777290852747,0.336960404227,141765993415,51.0131933433,38.9868066567,0,0,0,0,18.6217791348
55,87168124782.3,111547657166,48356603691.7,0.615738421008,0.787950631001,0.341581539675,141566804508,51.9944051131,38.0055948869,0,0,0,0,18.8592198771
56,85119590315.6,112871534370,48930511866.4,0.602107286683,0.798415189813,0.346117903164,141369478120,52.9790295115,37.0209704885,0,0,0,0,19.091652955
57,83045751182.4,114164618129,49491070872.2,0.588250179032,0.80867900113,0.350567418604,141174203459,53.9670663224,36.0329336776,0,0,0,0,19.3190038473
58,80947118837.4,115426493258,50038100724.3,0.574169395468,0.818736529848,0.354927313718,140981247502,54.9585148173,35.0414851827,0,0,0,0,19.5411637297
59,78824215270.8,116656749207,50571423447.2,0.559867617852,0.828582072266,0.359195506527,140790815192,55.95335687,34.04664313,0,0,0,0,19.7580602303
60,76677573097.3,117854980371,51090863210,0.545347431493,0.838210104308,0.363369230336,140603153244,56.9515909192,33.0484090808,0,0,0,0,19.9695872681
61,74507735628.7,119020786420,51596246466.8,0.530612065157,0.847614792409,0.367446274767,140418483307,57.9531810633,32.0468189367,0,0,0,0,20.1756680656
62,72315256932.9,120153772621,52087402100.1,0.515664440857,0.856790630455,0.371424017811,140237031643,58.9581225152,31.0418774848,0,0,0,0,20.3762059407
63,70100701873.9,121253550188,52564161569,0.500508302776,0.865731736078,0.375300038856,140059031977,59.9663652573,30.0336347427,0,0,0,0,20.5711152594
64,67864646136.8,122319736624,53026359059,0.485147005964,0.874432606096,0.379071940706,139884693225,0,29.0221042874,0,0,0,0,20.7603122812
65,65607676234,123351956074,53473831636.4,0.469584733371,0.882887409688,0.382737088297,139714255367,0,28.0073440575,0,0,0,0,20.9437019782
66,63330389494.5,124349839692,53906419404.5,0.453825389572,0.891090632753,0.386293307074,139547912285,0,26.989383165,0,0,0,0,21.1212128832
67,61033394033.4,125313026001,54323965661.4,0.437873513108,0.899036587975,0.389737828278,139385906168,0,25.9682814294,0,0,0,0,21.2927442409
68,58717308704,126241161265,54726317061.1,0.421733648031,0.906719763829,0.393068623759,139228416150,0,24.9440884084,0,0,0,0,21.4582324766
69,56382763029.7,127133899860,55113323774.7,0.405410643603,0.914134678291,0.396282933466,139075683731,0,23.9168627392,0,0,0,0,21.6175777452
70,54030397117.1,127990904653,55484839653.5,0.388909708718,0.92127587533,0.399378760504,138927873833,0,22.8866752921,0,0,0,0,21.770718086
71,51660861549.2,128811847377,55840722392.3,0.372236019576,0.928138107035,0.402353512993,138785222294,0,21.8535846554,0,0,0,0,21.9175619263
72,49274817258.9,129596409007,56180833693.2,0.355395404547,0.934716056579,0.405205120564,138647883953,0,20.8176797519,0,0,0,0,22.0580432122
73,46872935382.4,130344280142,56505039429,0.338393430884,0.941004721526,0.407931284852,138516079490,0,19.7790233929,0,0,0,0,22.1920842144
74,44455897092.5,131055161375,56813209806.6,0.321236458366,0.946999016798,0.410529815231,138389962207,0,18.7377171322,0,0,0,0,22.3196119784
75,42024393412,131728763673,57105219528.6,0.30393051796,0.952694200808,0.412998757309,138269724959,0,17.6938328794,0,0,0,0,22.4405644438
76,39579125007.4,132364808743,57380947954.1,0.286482412094,0.958085501175,0.41533583969,138155528992,0,16.6474798738,0,0,0,0,22.5548631942
77,37120801961.8,132963029398,57640279257.6,0.268898678215,0.963168469612,0.417539413703,138047528730,0,15.5987423031,0,0,0,0,22.6624593159
78,34650143529,133523169924,57883102585.3,0.25118649921,0.967938708088,0.419607248434,137945897736,0,14.5477341994,0,0,0,0,22.7632743448
79,32167877867.5,134044986426,58109312209.1,0.233352919023,0.972392109791,0.421537895686,137850749339,0,13.4945528567,0,0,0,0,22.857266771
80,29674741755.2,134528247186,58318807677.5,0.215405462538,0.976524698463,0.423329328882,137762264134,0,12.4393159803,0,0,0,0,22.9443655351
81,27171480285.6,134972732992,58511493962.8,0.197351653235,0.980332762365,0.424980179708,137680522028,0,11.3821334817,0,0,0,0,23.0245301221
82,24658846544.7,135378237479,58687281604.7,0.179199319975,0.98381278896,0.426488771523,137605696118,0,10.3231259412,0,0,0,0,23.0977034132
83,22137601270,135744567444,58846086849.6,0.160956436378,0.986961511706,0.42785374181,137537847675,0,9.26241555638,0,0,0,0,23.1638418211
