T since,X,Y,Z,Radius,,,SGP4 Test
0,4434.20512021,-245.517612869,5116.77595546,6775.2380124,,,1 25544U 98067A   16276.51267453  .00005824  00000-0  95509-4 0  9996
1,4559.74138205,183.824395316,5008.54436403,6775.73239775,,,2 25544  51.6438 242.6726 0006624  30.4136  75.0493 15.54017269 21688
2,4664.30455543,612.320966361,4877.209072,6776.27052911,,,Singapore UTC+8:,,2/10/16 20:18:15
3,4747.41441881,1038.00126806,4723.37667055,6776.84863844
4,4808.68923036,1458.90750313,4547.75725817,6777.46260013
5,4847.84752008,1873.10387001,4351.16123203,6778.10797738
6,4864.70943517,2278.68544475,4134.49561963,6778.78007266
7,4859.19762856,2673.78694514,3898.75996258,6779.47398161
8,4831.33768215,3056.59133714,3645.04176578,6780.18464907
9,4781.25805797,3425.33824307,3374.51152862,6780.90692704
10,4709.1895724,3778.33211037,3088.41737663,6781.63563289
11,4615.4643911,4113.95009963,2788.0793153,6782.36560767
12,4500.51454455,4430.64965066,2474.88312997,6783.0917729
13,4364.86996718,4726.97568602,2150.27395951,6783.80918567
14,4209.15606577,5001.56741233,1815.74957302,6784.51309071
15,4034.09082626,5253.16468157,1472.85338241,6785.19896925
16,3840.48145751,5480.61385711,1123.1672262,6785.86256081
17,3629.22065735,5682.87324721,768.303959003,6786.49997399
18,3401.28236257,5859.01786268,409.899891642,6787.10762742
19,3157.71719981,6008.24373513,49.6071148398,6787.68234087
20,2899.64750082,6129.87154241,-310.914245439,6788.22130042
21,2628.26204456,6223.34975014,-670.003805396,6788.72216155
22,2344.81040496,6288.25697213,-1026.00868319,6789.18297004
23,2050.59708338,6324.30382454,-1377.29120665,6789.60222188
24,1746.97534387,6331.33401446,-1722.23652549,6789.97878527
25,1435.34089662,6309.3249632,-2059.26008328,6790.31200104
26,1117.12533855,6258.38759861,-2386.8149198,6790.60157997
27,793.789490592,6178.76562323,-2703.39876042,6790.84760836
28,466.8166194,6070.83413432,-3007.56086132,6791.05052088
29,137.705588669,5935.09763752,-3297.90857933,6791.21106973
30,-192.036025311,5772.18747213,-3573.11363712,6791.33029031
31,-520.898820399,5582.85866916,-3831.91805875,6791.40946416
32,-847.37842541,5367.98626557,-4073.13975232,6791.45007971
33,-1169.98229632,5128.56110011,-4295.67772003,6791.45379176
34,-1487.23642289,4865.68511782,-4498.51687849,6791.42238043
35,-1797.69191849,4580.56621098,-4680.73247515,6791.35771042
36,-2099.93146777,4274.51262514,-4841.49408809,6791.26169108
37,-2392.57560853,3948.92695917,-4980.06920024,6791.13623855
38,-2674.28882579,3605.29978803,-5095.82633937,6790.98324003
39,-2943.78543776,3245.20293706,-5188.23777802,6790.80452138
40,-3199.83525458,2870.28243594,-5256.8817883,6790.6018183
41,-3441.26899211,2482.25118012,-5301.44444769,6790.37675164
42,-3666.98342374,2082.88132724,-5321.720993,6790.13080733
43,-3875.94625425,1673.99645543,-5317.61672015,6789.86532127
44,-4067.2007001,1257.46351035,-5289.14742777,6789.58146923
45,-4239.86976085,835.18456773,-5236.43940341,6789.28026205
46,-4393.16016696,409.088438438,-5159.72895122,6788.96254616
47,-4526.36598883,-18.8778565274,-5059.3614603,6788.62900918
48,-4638.87189236,-446.757712898,-4935.79001365,6788.28019064
49,-4730.15602626,-872.593642672,-4789.57353802,6787.91649728
50,-4799.79252625,-1294.4360159,-4621.37449593,6787.53822279
51,-4847.45362166,-1710.35181281,-4431.95612218,6787.14557134
52,-4872.9113302,-2118.43335285,-4222.17920844,6786.73868442
53,-4876.03872736,-2516.80696538,-3992.99844131,6786.31767043
54,-4856.81077745,-2903.64156522,-3745.45830117,6785.88263626
55,-4815.30471489,-3277.15709443,-3480.68853124,6785.43372013
56,-4751.69996527,-3635.63279039,-3199.89918928,6784.97112507
57,-4666.27759819,-3977.41523876,-2904.3752966,6784.49515207
58,-4559.41930529,-4300.92616924,-2595.47110272,6784.00623229
59,-4431.60590025,-4604.66995113,-2274.60398657,6783.50495759
60,-4283.41533953,-4887.24074605,-1943.2480189,6782.99210849
61,-4115.5202666,-5147.32927525,-1602.92721343,6782.46867919
62,-3928.68507414,-5383.72914539,-1255.2084982,6781.9358812
63,-3723.76255002,-5595.34276778,-901.694438754,6781.39521624
64,-3501.68999214,-5781.18666664,-544.015754671,6780.84841424
65,-3263.484965,-5940.396343,-183.82366305,6780.29748372
66,-3010.24060768,-6072.23052093,177.217906071,6779.74470033
67,-2743.12056082,-6176.07480557,537.440180879,6779.19260408
68,-2463.35352926,-6251.44471525,895.177460496,6778.64398856
69,-2172.22750994,-6297.98806651,1248.77502544,6778.10188069
70,-1871.08372382,-6315.48671546,1596.59699963,6777.56953
71,-1561.31026378,-6303.85757519,1937.03412151,6777.05033595
72,-1244.33554798,-6263.15307673,2268.5113759,6776.54788821
73,-921.621539908,-6193.56082915,2589.49545092,6776.0658717
74,-594.656837671,-6095.40268456,2898.50197399,6775.6080417
75,-264.949641992,-5969.13312839,3194.10249123,6775.17817786
76,65.9793522286,-5815.33702637,3474.93115424,6774.78003568
77,396.604102503,-5634.72674628,3739.69108143,6774.41729626
78,725.400365942,-5428.13867616,3987.16036426,6774.09351492
79,1050.85281071,-5196.52916372,4216.19769191,6773.81206976
80,1371.46205682,-4940.96990441,4425.74757095,6773.57611098
81,1685.75161311,-4662.64280755,4614.84511981,6773.38851179
82,1992.27467896,-4362.83437164,4782.62042105,6773.25182189
83,2289.62078128,-4042.92960121,4928.30241682,6773.16822425
84,2576.42221916,-3704.40549811,5051.22233618,6773.13949623
